# N=150 REP=500 dy=0.01
# BRG
# esConnex p
0 0
0.0125 0
0.01875 0
0.021875 0
0.0234375 0.008
0.0242188 0.018
0.025 0.026
0.0257813 0.042
0.0265625 0.058
0.0273438 0.092
0.028125 0.112
0.0289063 0.176
0.0296875 0.164
0.0304687 0.206
0.03125 0.26
0.0320312 0.32
0.0328125 0.326
0.0335938 0.338
0.034375 0.4
0.0351562 0.496
0.0359375 0.51
0.0367188 0.576
0.0375 0.568
0.0382813 0.644
0.0390625 0.624
0.0398438 0.716
0.040625 0.716
0.0414063 0.776
0.0421875 0.798
0.0429688 0.828
0.04375 0.83
0.0445313 0.842
0.0453125 0.864
0.0460938 0.886
0.046875 0.89
0.0476562 0.896
0.0484375 0.908
0.0492188 0.938
0.05 0.938
0.053125 0.944
0.0539063 0.97
0.0546875 0.974
0.05625 0.982
0.0625 0.988
0.06875 0.996
0.075 0.998
0.1 1
0.2 1
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
