# N=25 REP=500 dy=0.01
# BRG
# eulerianCycle p
0 1
0.00078125 0.772
0.0015625 0.626
0.00234375 0.48
0.003125 0.434
0.00390625 0.288
0.0046875 0.254
0.00546875 0.194
0.00625 0.148
0.00703125 0.122
0.0078125 0.098
0.00859375 0.08
0.009375 0.056
0.0101563 0.052
0.0109375 0.042
0.0117188 0.028
0.0125 0.02
0.0140625 0.012
0.015625 0.008
0.01875 0.004
0.025 0.002
0.05 0
0.1 0
0.2 0
0.3 0
0.4 0
0.5 0
0.6 0
0.7 0
0.8 0
0.9 0
0.95 0
0.975 0
0.98125 0.004
0.984375 0.004
0.985938 0.012
0.9875 0.022
0.988281 0.04
0.989063 0.042
0.989844 0.058
0.990625 0.072
0.991406 0.074
0.992188 0.104
0.992969 0.104
0.99375 0.162
0.994531 0.222
0.995313 0.264
0.996094 0.278
0.996875 0.384
0.997656 0.512
0.998437 0.602
0.999219 0.774
1 1
