# N=10 REP=1000 dy=0.025
# p-connected p
0 0
0.1 0.008
0.125 0.024
0.1375 0.042
0.14375 0.056
0.15 0.079
0.1625 0.085
0.16875 0.109
0.171875 0.122
0.173438 0.122
0.174219 0.115
0.174609 0.119
0.174805 0.144
0.175 0.149
0.1875 0.156
0.190625 0.165
0.192188 0.187
0.19375 0.212
0.195312 0.189
0.196875 0.181
0.198438 0.185
0.198535 0.233
0.198633 0.217
0.198828 0.214
0.199023 0.23
0.199219 0.244
0.2 0.26
0.2125 0.283
0.21875 0.3
0.221875 0.319
0.225 0.326
0.228125 0.351
0.23125 0.357
0.2375 0.369
0.239062 0.381
0.240625 0.395
0.24375 0.407
0.246875 0.415
0.248438 0.406
0.249219 0.43
0.25 0.444
0.25625 0.43
0.256445 0.454
0.256641 0.465
0.257031 0.465
0.257812 0.487
0.259375 0.478
0.260938 0.488
0.2625 0.504
0.26875 0.515
0.271875 0.515
0.272656 0.522
0.273047 0.514
0.273145 0.554
0.273242 0.562
0.273438 0.577
0.275 0.565
0.2875 0.575
0.287891 0.589
0.288086 0.588
0.288184 0.603
0.288281 0.616
0.289062 0.635
0.289844 0.615
0.290625 0.605
0.29375 0.62
0.3 0.637
0.303125 0.657
0.30625 0.672
0.3125 0.697
0.31875 0.707
0.321875 0.724
0.325 0.733
0.33125 0.749
0.3375 0.772
0.34375 0.792
0.346875 0.805
0.35 0.827
0.3625 0.84
0.375 0.861
0.4 0.885
0.40625 0.906
0.4125 0.919
0.425 0.925
0.4375 0.928
0.440625 0.949
0.44375 0.961
0.45 0.954
0.475 0.971
0.5 0.985
0.6 0.995
0.7 1
0.8 1
0.9 1
