# N=100 REP=1000 dy=0.025
# p-connected p
0 0
0.025 0
0.03125 0.011
0.0328125 0.029
0.034375 0.041
0.0359375 0.051
0.0361328 0.066
0.0363281 0.081
0.0367188 0.091
0.0375 0.089
0.0378906 0.097
0.0382813 0.116
0.0386719 0.131
0.0390625 0.153
0.0398438 0.153
0.0402344 0.171
0.040625 0.183
0.0414063 0.207
0.0416016 0.219
0.0416992 0.228
0.0417969 0.246
0.0421875 0.247
0.0425781 0.26
0.0429688 0.277
0.04375 0.275
0.0438477 0.311
0.0439453 0.312
0.0441406 0.322
0.0445313 0.327
0.0453125 0.339
0.0454102 0.363
0.0455078 0.376
0.0456055 0.337
0.0457031 0.401
0.0460938 0.392
0.0462891 0.405
0.0464844 0.419
0.046875 0.423
0.0472656 0.436
0.0476562 0.46
0.0484375 0.468
0.0485352 0.488
0.0486328 0.508
0.0488281 0.521
0.0492188 0.499
0.05 0.523
0.0500977 0.556
0.0501953 0.552
0.0503906 0.552
0.0507812 0.555
0.0511719 0.564
0.0512695 0.558
0.0513672 0.614
0.0515625 0.617
0.053125 0.625
0.0535156 0.631
0.0537109 0.626
0.0538086 0.66
0.0539063 0.679
0.0546875 0.684
0.0554687 0.706
0.05625 0.73
0.0570313 0.737
0.0574219 0.757
0.0578125 0.766
0.0585938 0.78
0.059375 0.799
0.0609375 0.817
0.0617188 0.833
0.0625 0.854
0.0640625 0.877
0.065625 0.9
0.06875 0.911
0.0695313 0.931
0.0703125 0.941
0.071875 0.94
0.075 0.96
0.08125 0.973
0.0875 0.99
0.1 0.997
0.2 1
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
