# N=80 REP=500 dy=0.01
# GRG
# eulerianCycle p
0 1
0.00078125 0.99
0.0015625 0.964
0.00234375 0.958
0.003125 0.888
0.00390625 0.852
0.0046875 0.81
0.00546875 0.774
0.00625 0.712
0.00703125 0.634
0.0078125 0.508
0.00859375 0.52
0.009375 0.388
0.0101563 0.294
0.0109375 0.288
0.0117188 0.248
0.0125 0.186
0.0132813 0.17
0.0140625 0.144
0.0148437 0.096
0.015625 0.112
0.0164063 0.052
0.0171875 0.06
0.0179688 0.048
0.01875 0.034
0.0195313 0.034
0.0203125 0.012
0.021875 0.012
0.025 0.002
0.05 0
0.1 0
0.2 0
0.3 0
0.4 0
0.5 0
0.6 0
0.7 0
0.8 0
0.9 0
1 0
