# N=80 REP=1000 dy=0.025
# p-connected p
0 0
0.025 0
0.0375 0.015
0.0390625 0.03
0.040625 0.043
0.0421875 0.067
0.04375 0.092
0.0453125 0.115
0.0455078 0.128
0.0457031 0.14
0.0460938 0.141
0.0464844 0.15
0.046875 0.172
0.0476562 0.19
0.0484375 0.21
0.0492188 0.218
0.05 0.241
0.0503906 0.25
0.0505859 0.27
0.0507812 0.278
0.0515625 0.28
0.0519531 0.303
0.0523438 0.321
0.053125 0.325
0.0532227 0.334
0.0533203 0.358
0.0535156 0.354
0.0539063 0.358
0.0546875 0.382
0.0548828 0.407
0.0550781 0.412
0.0552734 0.413
0.0554687 0.437
0.05625 0.434
0.0564453 0.454
0.056543 0.421
0.0566406 0.48
0.0570313 0.472
0.0578125 0.485
0.0585938 0.507
0.0589844 0.524
0.059375 0.537
0.0601562 0.545
0.0605469 0.554
0.0609375 0.579
0.0613281 0.57
0.0615234 0.58
0.0616211 0.592
0.0617188 0.621
0.0625 0.611
0.0640625 0.635
0.0644531 0.643
0.0646484 0.667
0.0648438 0.674
0.065625 0.688
0.0671875 0.708
0.06875 0.728
0.0695313 0.743
0.0697266 0.764
0.0699219 0.783
0.0703125 0.783
0.0710938 0.779
0.0714844 0.8
0.071875 0.808
0.0726563 0.818
0.0734375 0.835
0.075 0.835
0.0757813 0.835
0.0761719 0.857
0.0765625 0.868
0.078125 0.874
0.0789063 0.882
0.0796875 0.901
0.0804688 0.899
0.0808594 0.902
0.0810547 0.899
0.0811523 0.904
0.08125 0.928
0.0875 0.946
0.1 0.967
0.10625 0.985
0.1125 0.993
0.125 0.999
0.15 1
0.2 1
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
