# N=60 REP=500 dy=0.01
# GRG
# eulerianCycle p
0 1
0.00078125 0.998
0.0015625 0.99
0.00234375 0.954
0.003125 0.942
0.00390625 0.934
0.0046875 0.884
0.00546875 0.812
0.00625 0.788
0.00703125 0.76
0.0078125 0.732
0.00859375 0.67
0.009375 0.638
0.0101563 0.54
0.0109375 0.534
0.0117188 0.444
0.0125 0.442
0.0132813 0.418
0.0140625 0.296
0.0148437 0.288
0.015625 0.276
0.0164063 0.206
0.0171875 0.222
0.0179688 0.17
0.01875 0.148
0.0195313 0.116
0.0203125 0.108
0.0210938 0.108
0.021875 0.086
0.0226563 0.038
0.0234375 0.058
0.0242188 0.04
0.025 0.03
0.0265625 0.02
0.028125 0.01
0.03125 0.004
0.0375 0
0.05 0
0.1 0
0.2 0
0.3 0
0.4 0
0.5 0
0.6 0
0.7 0
0.8 0
0.9 0
1 0
