# N=50 REP=500 dy=0.01
# GRG
# eulerianCycle p
0 1
0.00078125 0.992
0.0015625 0.984
0.00234375 0.984
0.003125 0.956
0.00390625 0.96
0.0046875 0.928
0.00546875 0.88
0.00625 0.854
0.00703125 0.81
0.0078125 0.778
0.00859375 0.742
0.009375 0.718
0.0101563 0.668
0.0109375 0.62
0.0117188 0.574
0.0125 0.568
0.0132813 0.524
0.0140625 0.48
0.0148437 0.444
0.015625 0.408
0.0164063 0.364
0.0171875 0.324
0.0179688 0.292
0.01875 0.276
0.0195313 0.216
0.0203125 0.226
0.0210938 0.176
0.021875 0.136
0.0226563 0.164
0.0234375 0.124
0.0242188 0.118
0.025 0.068
0.0265625 0.06
0.028125 0.054
0.0296875 0.046
0.0304687 0.038
0.03125 0.014
0.0375 0.006
0.05 0
0.1 0
0.2 0
0.3 0
0.4 0
0.5 0
0.6 0
0.7 0
0.8 0
0.9 0
1 0
